#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
2-Cys_Prx_B	F14G9.19	3702.Q9C5R8	3702.P50318	0	0	0	0	0.221	0	0	0.283	0.418
2-Cys_Prx_B	LHCA1	3702.Q9C5R8	3702.Q01667	0	0	0	0	0.211	0	0	0.504	0.591
2-Cys_Prx_B	PSBP1	3702.Q9C5R8	3702.Q42029	0	0	0	0	0.251	0	0	0.570	0.664
2-Cys_Prx_B	APX3	3702.Q9C5R8	3702.Q42564	0.042	0	0	0	0.094	0.077	0	0.366	0.425
2-Cys_Prx_B	GAPCP2	3702.Q9C5R8	3702.Q5E924	0	0	0	0	0.157	0	0	0.378	0.453
2-Cys_Prx_B	MDHNP_ARATH	3702.Q9C5R8	3702.Q8H1E2	0.072	0	0	0	0.207	0.050	0	0.640	0.715
2-Cys_Prx_B	CURT1B	3702.Q9C5R8	3702.Q8LCA1	0.064	0	0	0	0.305	0	0	0.594	0.713
2-Cys_Prx_B	EMB3147	3702.Q9C5R8	3702.Q8RU07	0.108	0	0	0	0.164	0	0	0.309	0.439
2-Cys_Prx_B	TKL-1	3702.Q9C5R8	3702.Q8RWV0	0	0	0	0	0.231	0	0	0.274	0.418
2-Cys_Prx_B	RPS1	3702.Q9C5R8	3702.Q93VC7	0.058	0	0	0	0.216	0	0	0.292	0.431
2-Cys_Prx_B	FBA2	3702.Q9C5R8	3702.Q944G9	0	0	0	0	0.211	0	0	0.484	0.575
2-Cys_Prx_B	BAS1	3702.Q9C5R8	3702.Q96291	0	0	0.050	0.981	0.264	0.604	0	0.058	0.704
2-Cys_Prx_B	PMDH2	3702.Q9C5R8	3702.Q9ZP05	0.072	0	0	0	0.275	0.050	0	0.182	0.408
2-Cys_Prx_B	RPL11	3702.Q9C5R8	3702.Q9MAP3	0	0	0	0	0.392	0	0	0.075	0.413
2-Cys_Prx_B	F3O9.15	3702.Q9C5R8	3702.Q9SA34	0.109	0	0	0	0.049	0	0.156	0.292	0.425
2-Cys_Prx_B	LHCB3	3702.Q9C5R8	3702.Q9S7M0	0.107	0	0	0	0.196	0.212	0	0.125	0.438
2-Cys_Prx_B	GAPCP1	3702.Q9C5R8	3702.Q9SAJ6	0	0	0	0	0.157	0	0	0.378	0.453
2-Cys_Prx_B	GAPC2	3702.Q9C5R8	3702.Q9FX54	0	0	0	0	0.163	0	0	0.379	0.458
2-Cys_Prx_B	LPD1-2	3702.Q9C5R8	3702.Q9M5K3	0.042	0	0	0	0.203	0.064	0.170	0.232	0.461
2-Cys_Prx_B	SAHH2	3702.Q9C5R8	3702.Q9LK36	0	0	0	0	0.279	0	0	0.284	0.461
2-Cys_Prx_B	LFNR1	3702.Q9C5R8	3702.Q9FKW6	0.089	0	0	0	0.389	0	0	0.134	0.476
2-Cys_Prx_B	PGK1	3702.Q9C5R8	3702.Q9LD57	0	0	0	0	0.319	0	0	0.283	0.491
2-Cys_Prx_B	TIM	3702.Q9C5R8	3702.Q9SKP6	0	0	0	0	0.325	0.078	0	0.316	0.537
2-Cys_Prx_B	PSBO2	3702.Q9C5R8	3702.Q9S841	0	0	0	0	0.252	0	0	0.460	0.579
2-Cys_Prx_B	LHCA3	3702.Q9C5R8	3702.Q9SY97	0	0	0	0	0.184	0	0	0.530	0.600
2-Cys_Prx_B	PSAD2	3702.Q9C5R8	3702.Q9SA56	0	0	0	0	0.211	0	0	0.526	0.610
2-Cys_Prx_B	CITRX	3702.Q9C5R8	3702.Q9M7X9	0.070	0	0	0	0.210	0.313	0.313	0.178	0.663
2-Cys_Prx_B	LHCA5	3702.Q9C5R8	3702.Q9C639	0	0	0	0	0.152	0	0	0.620	0.663
2-Cys_Prx_B	CYP38	3702.Q9C5R8	3702.Q9SSA5	0.077	0	0	0	0.309	0	0	0.559	0.694
2-Cys_Prx_B	petC	3702.Q9C5R8	3702.Q9ZR03	0	0	0	0	0.317	0	0	0.677	0.770
2-Cys_Prx_B	HSP70-6	3702.Q9C5R8	3702.Q9STW6	0	0	0	0	0.295	0.238	0	0.655	0.798
A0A1P8B2B4	atp6	3702.A0A1P8B2B4	3702.A0A178U7J2	0.108	0	0	0	0.579	0	0	0.222	0.682
A0A1P8B2B4	ATP9	3702.A0A1P8B2B4	3702.P60112	0.090	0	0	0	0.157	0	0	0.287	0.405
A0A1P8B2B4	atp9	3702.A0A1P8B2B4	3702.Q304C3	0.090	0	0	0	0.157	0	0	0.287	0.405
A0A1P8B2B4	atpH	3702.A0A1P8B2B4	3702.P56760	0.090	0	0	0	0.157	0	0	0.289	0.406
A0A1P8B2B4	psbE	3702.A0A1P8B2B4	3702.P56779	0	0	0	0	0	0	0	0.410	0.410
A0A1P8B2B4	OM64	3702.A0A1P8B2B4	3702.F4KCL7	0	0	0	0	0	0.363	0	0.113	0.410
A0A1P8B2B4	OEP64	3702.A0A1P8B2B4	3702.Q9LVH5	0	0	0	0	0	0.363	0	0.113	0.410
A0A1P8B2B4	atpF	3702.A0A1P8B2B4	3702.P56759	0.119	0	0	0	0.074	0	0	0.335	0.410
A0A1P8B2B4	HCF107	3702.A0A1P8B2B4	3702.Q8RWG2	0	0	0	0	0	0.363	0	0.113	0.410
A0A1P8B2B4	psbC	3702.A0A1P8B2B4	3702.P56778	0	0	0	0	0	0	0	0.412	0.412
A0A1P8B2B4	PNSL3	3702.A0A1P8B2B4	3702.Q9SGH4	0	0	0	0	0	0.414	0	0	0.414
A0A1P8B2B4	petG	3702.A0A1P8B2B4	3702.P56775	0	0	0	0	0	0	0	0.419	0.418
A0A1P8B2B4	HCS2	3702.A0A1P8B2B4	3702.F4I4W2	0.115	0	0	0	0.201	0	0	0.245	0.419
A0A1P8B2B4	HCS1	3702.A0A1P8B2B4	3702.Q9SL92	0.115	0	0	0	0.201	0	0	0.245	0.419
A0A1P8B2B4	atpB	3702.A0A1P8B2B4	3702.P19366	0.084	0	0	0	0.157	0	0	0.309	0.419
A0A1P8B2B4	rps11	3702.A0A1P8B2B4	3702.P56802	0	0	0	0	0.067	0	0	0.405	0.421
A0A1P8B2B4	psbA	3702.A0A1P8B2B4	3702.P83755	0	0	0	0	0	0	0	0.423	0.422
A0A1P8B2B4	psbH	3702.A0A1P8B2B4	3702.P56780	0	0	0	0	0	0	0	0.423	0.422
A0A1P8B2B4	rpl20	3702.A0A1P8B2B4	3702.P56794	0.082	0	0	0	0.044	0	0	0.395	0.422
A0A1P8B2B4	psbD	3702.A0A1P8B2B4	3702.P56761	0	0	0	0	0	0	0	0.423	0.422
A0A1P8B2B4	rpl16	3702.A0A1P8B2B4	3702.P56793	0	0	0	0	0.064	0	0	0.410	0.424
A0A1P8B2B4	atp1	3702.A0A1P8B2B4	3702.A0A2P2CLF9	0.104	0	0	0	0.186	0	0	0.301	0.445
A0A1P8B2B4	atpA	3702.A0A1P8B2B4	3702.P56757	0.104	0	0	0	0.186	0	0	0.301	0.445
A0A1P8B2B4	LHCB1.1	3702.A0A1P8B2B4	3702.P0CJ48	0.045	0	0	0	0.067	0.415	0	0.064	0.446
A0A1P8B2B4	LHCB1.3	3702.A0A1P8B2B4	3702.P04778	0.045	0	0	0	0.067	0.415	0	0.064	0.446
A0A1P8B2B4	LHCB1.2	3702.A0A1P8B2B4	3702.Q8VZ87	0.045	0	0	0	0.067	0.415	0	0.064	0.446
A0A1P8B2B4	Lhb1B1	3702.A0A1P8B2B4	3702.Q39142	0.045	0	0	0	0.067	0.415	0	0.064	0.446
A0A1P8B2B4	Lhb1B2	3702.A0A1P8B2B4	3702.Q39141	0.045	0	0	0	0.067	0.415	0	0.064	0.446
A0A1P8B2B4	LHCB2.1	3702.A0A1P8B2B4	3702.Q9SHR7	0.045	0	0	0	0.067	0.415	0	0.071	0.450
A0A1P8B2B4	LHCB2.2	3702.A0A1P8B2B4	3702.Q9S7J7	0.045	0	0	0	0.067	0.415	0	0.071	0.450
A0A1P8B2B4	FD2	3702.A0A1P8B2B4	3702.P16972	0.045	0	0	0	0	0.415	0	0.117	0.463
A0A1P8B2B4	ndhG	3702.A0A1P8B2B4	3702.Q95695	0	0	0	0	0	0.313	0	0.291	0.492
A0A1P8B2B4	ACP2	3702.A0A1P8B2B4	3702.P25701	0	0	0	0	0.052	0.415	0.324	0	0.592
A0A1P8B2B4	HCF173	3702.A0A1P8B2B4	3702.Q8W4D6	0	0	0	0	0.094	0.413	0.300	0.064	0.604
A0A1P8B2B4	PTAC16	3702.A0A1P8B2B4	3702.Q9STF2	0	0	0	0	0.094	0.413	0.300	0.064	0.604
A0A1P8B2B4	HCF244	3702.A0A1P8B2B4	3702.O65502	0	0	0	0	0.094	0.413	0.300	0.064	0.604
A0A1P8B2B4	DVR	3702.A0A1P8B2B4	3702.Q1H537	0	0	0	0	0.094	0.413	0.300	0.064	0.604
A0A1P8B2B4	AO	3702.A0A1P8B2B4	3702.Q94AY1	0	0	0	0	0.142	0	0.473	0.214	0.613
A0A1P8B2B4	SDH1-2	3702.A0A1P8B2B4	3702.Q9ZPX5	0	0	0	0	0.142	0	0.473	0.214	0.613
A0A1P8B2B4	SDH1-1	3702.A0A1P8B2B4	3702.O82663	0	0	0	0	0.142	0	0.473	0.214	0.613
A0A1P8B2B4	ATP6-2	3702.A0A1P8B2B4	3702.P92547	0.108	0	0	0	0.579	0	0	0.222	0.682
A0A1P8B2B4	ATP6-1	3702.A0A1P8B2B4	3702.P93298	0.108	0	0	0	0.579	0	0	0.222	0.682
A0A1P8B2B4	nad6	3702.A0A1P8B2B4	3702.A0A2P2CLG1	0	0	0	0	0.058	0.504	0.319	0.168	0.699
A0A1P8B2B4	ND6	3702.A0A1P8B2B4	3702.P60497	0	0	0	0	0.058	0.504	0.319	0.168	0.699
A0A1P8B2B4	BCCP2	3702.A0A1P8B2B4	3702.Q9LLC1	0	0	0	0	0	0.628	0.185	0.091	0.700
A0A1P8B2B4	BCCP1	3702.A0A1P8B2B4	3702.Q42533	0	0	0	0	0	0.628	0.185	0.091	0.700
A0A1P8B2B4	atpI	3702.A0A1P8B2B4	3702.P56758	0.108	0	0	0	0.579	0	0	0.289	0.709
A0A1P8B2B4	SDH2-1	3702.A0A1P8B2B4	3702.Q8LBZ7	0	0	0	0	0.386	0	0.473	0.236	0.731
A0A1P8B2B4	SDH2-3	3702.A0A1P8B2B4	3702.Q9FJP9	0	0	0	0	0.386	0	0.473	0.236	0.731
A0A1P8B2B4	SDH2-2	3702.A0A1P8B2B4	3702.Q8LB02	0	0	0	0	0.386	0	0.473	0.236	0.731
A0A1P8B2B4	LHCA6	3702.A0A1P8B2B4	3702.Q8LCQ4	0	0	0	0	0	0.732	0	0	0.732
A0A1P8B2B4	PSAN	3702.A0A1P8B2B4	3702.P49107	0	0	0	0	0	0.717	0	0.129	0.742
A0A1P8B2B4	F20D10.40	3702.A0A1P8B2B4	3702.Q84WN0	0	0	0	0	0	0.409	0.574	0.293	0.806
A0A1P8B2B4	LHCA2	3702.A0A1P8B2B4	3702.Q9SYW8	0	0	0	0	0	0.827	0	0.079	0.833
A0A1P8B2B4	petC	3702.A0A1P8B2B4	3702.Q9ZR03	0	0	0	0	0.065	0.629	0.497	0.207	0.843
A0A1P8B2B4	PSAH2	3702.A0A1P8B2B4	3702.Q9SUI6	0	0	0	0	0	0.829	0	0.214	0.859
A0A1P8B2B4	PSAH1	3702.A0A1P8B2B4	3702.Q9SUI7	0	0	0	0	0	0.829	0	0.214	0.859
A0A1P8B2B4	ndhF	3702.A0A1P8B2B4	3702.P56752	0.099	0	0	0	0.492	0.518	0.392	0.173	0.868
A0A1P8B2B4	ND5	3702.A0A1P8B2B4	3702.P29388	0.099	0	0	0	0.492	0.518	0.392	0.173	0.868
A0A1P8B2B4	nad5	3702.A0A1P8B2B4	3702.A0A2P2CLC5	0.099	0	0	0	0.492	0.518	0.392	0.173	0.868
A0A1P8B2B4	ND2	3702.A0A1P8B2B4	3702.O05000	0.099	0	0	0	0.492	0.518	0.392	0.173	0.868
A0A1P8B2B4	nad2	3702.A0A1P8B2B4	3702.A0A2P2CLE9	0.099	0	0	0	0.492	0.518	0.392	0.173	0.868
A0A1P8B2B4	PSAE1	3702.A0A1P8B2B4	3702.Q9S831	0	0	0	0	0	0.829	0	0.293	0.873
A0A1P8B2B4	PSAE2	3702.A0A1P8B2B4	3702.Q9S714	0	0	0	0	0	0.829	0	0.293	0.873
A0A1P8B2B4	psaD1	3702.A0A1P8B2B4	3702.Q9S7H1	0	0	0	0	0	0.829	0	0.298	0.874
A0A1P8B2B4	PSAD2	3702.A0A1P8B2B4	3702.Q9SA56	0	0	0	0	0	0.829	0	0.298	0.874
A0A1P8B2B4	psaA	3702.A0A1P8B2B4	3702.P56766	0	0	0	0	0	0.829	0	0.309	0.876
A0A1P8B2B4	psaB	3702.A0A1P8B2B4	3702.P56767	0	0	0	0	0	0.829	0	0.309	0.876
A0A1P8B2B4	ndhB2	3702.A0A1P8B2B4	3702.P0CC33	0.099	0	0	0	0.492	0.518	0.392	0.242	0.879
A0A1P8B2B4	ndhB1	3702.A0A1P8B2B4	3702.P0CC32	0.099	0	0	0	0.492	0.518	0.392	0.242	0.879
A0A1P8B2B4	LHCA5	3702.A0A1P8B2B4	3702.Q9C639	0	0	0	0	0	0.884	0	0	0.884
A0A1P8B2B4	LHCA4	3702.A0A1P8B2B4	3702.P27521	0	0	0	0	0	0.885	0	0.047	0.885
A0A1P8B2B4	PSAO	3702.A0A1P8B2B4	3702.Q949Q5	0	0	0	0	0	0.884	0	0.064	0.886
A0A1P8B2B4	LHCA1	3702.A0A1P8B2B4	3702.Q01667	0	0	0	0	0	0.888	0	0	0.888
A0A1P8B2B4	LHCA3	3702.A0A1P8B2B4	3702.Q9SY97	0	0	0	0	0	0.884	0	0.099	0.891
A0A1P8B2B4	PSAG	3702.A0A1P8B2B4	3702.Q9S7N7	0	0	0	0	0	0.888	0	0.100	0.894
A0A1P8B2B4	MT-CYB	3702.A0A1P8B2B4	3702.P42792	0	0	0	0	0.535	0.557	0.440	0.208	0.896
A0A1P8B2B4	PSAK	3702.A0A1P8B2B4	3702.Q9SUI5	0	0	0	0	0	0.888	0	0.138	0.899
A0A1P8B2B4	PSAL	3702.A0A1P8B2B4	3702.Q9SUI4	0	0	0	0	0	0.888	0	0.196	0.906
A0A1P8B2B4	cob	3702.A0A1P8B2B4	3702.A0A2P2CLG2	0	0	0	0	0.535	0.557	0.440	0.300	0.908
A0A1P8B2B4	petB	3702.A0A1P8B2B4	3702.P56773	0	0	0	0	0.535	0.557	0.440	0.300	0.908
A0A1P8B2B4	psaI	3702.A0A1P8B2B4	3702.P56768	0	0	0	0	0	0.888	0	0.302	0.918
A0A1P8B2B4	petD	3702.A0A1P8B2B4	3702.P56774	0	0	0	0	0.535	0.557	0.440	0.406	0.922
A0A1P8B2B4	PSAF	3702.A0A1P8B2B4	3702.Q9SHE8	0	0	0	0	0	0.888	0	0.342	0.923
A0A1P8B2B4	psbB	3702.A0A1P8B2B4	3702.P56777	0	0	0	0	0.535	0.557	0.440	0.423	0.924
A0A1P8B2B4	nad3	3702.A0A1P8B2B4	3702.A0A2P2CLG7	0.108	0	0	0	0.553	0.618	0.473	0.222	0.926
A0A1P8B2B4	ND3	3702.A0A1P8B2B4	3702.P92533	0.108	0	0	0	0.553	0.618	0.473	0.222	0.926
A0A1P8B2B4	ycf3	3702.A0A1P8B2B4	3702.P61843	0	0	0	0	0	0.887	0	0.385	0.927
A0A1P8B2B4	psaJ	3702.A0A1P8B2B4	3702.P56769	0	0	0	0	0	0.888	0	0.384	0.928
A0A1P8B2B4	ND4L	3702.A0A1P8B2B4	3702.Q04614	0	0	0	0	0.547	0.649	0.485	0.241	0.929
A0A1P8B2B4	nad4L	3702.A0A1P8B2B4	3702.A0A2P2CLH7	0	0	0	0	0.547	0.649	0.485	0.241	0.929
A0A1P8B2B4	nad1	3702.A0A1P8B2B4	3702.A0A2P2CLC3	0.108	0	0	0	0.579	0.618	0.473	0.222	0.930
A0A1P8B2B4	ND1	3702.A0A1P8B2B4	3702.P92558	0.108	0	0	0	0.579	0.618	0.473	0.222	0.930
A0A1P8B2B4	ndhA	3702.A0A1P8B2B4	3702.Q37165	0.108	0	0	0	0.579	0.618	0.473	0.238	0.931
A0A1P8B2B4	ndhC	3702.A0A1P8B2B4	3702.P56751	0.108	0	0	0	0.553	0.618	0.473	0.286	0.932
A0A1P8B2B4	ndhE	3702.A0A1P8B2B4	3702.P26289	0	0	0	0	0.547	0.649	0.485	0.284	0.933
A0A1P8B2B4	COX2	3702.A0A1P8B2B4	3702.P93285	0	0	0	0	0.677	0.513	0.529	0.289	0.940
A0A1P8B2B4	cox2	3702.A0A1P8B2B4	3702.A0A2P2CLF0	0	0	0	0	0.677	0.513	0.529	0.289	0.940
A0A1P8B2B4	ndhI	3702.A0A1P8B2B4	3702.P56755	0.111	0	0	0	0.616	0.651	0.497	0.241	0.946
A0A1P8B2B4	nad7	3702.A0A1P8B2B4	3702.A0A2P2CLH2	0.111	0	0	0	0.618	0.651	0.497	0.241	0.946
A0A1P8B2B4	NAD9	3702.A0A1P8B2B4	3702.Q95748	0.111	0	0	0	0.617	0.651	0.497	0.241	0.946
A0A1P8B2B4	ndhH	3702.A0A1P8B2B4	3702.P56753	0.111	0	0	0	0.618	0.651	0.497	0.241	0.946
A0A1P8B2B4	NAD7	3702.A0A1P8B2B4	3702.P93306	0.111	0	0	0	0.618	0.651	0.497	0.241	0.946
A0A1P8B2B4	nad9	3702.A0A1P8B2B4	3702.A0A2P2CLF6	0.111	0	0	0	0.617	0.651	0.497	0.241	0.946
A0A1P8B2B4	ndhJ	3702.A0A1P8B2B4	3702.P56754	0.111	0	0	0	0.617	0.651	0.497	0.285	0.949
A0A1P8B2B4	cox3	3702.A0A1P8B2B4	3702.A0A2P2CLH8	0	0	0	0	0.677	0.593	0.529	0.289	0.950
A0A1P8B2B4	COX3	3702.A0A1P8B2B4	3702.P92514	0	0	0	0	0.677	0.593	0.529	0.289	0.950
A0A1P8B2B4	F19K19.1	3702.A0A1P8B2B4	3702.Q9FX83	0.111	0	0	0	0.616	0.651	0.497	0.308	0.950
A0A1P8B2B4	YUP8H12R.37	3702.A0A1P8B2B4	3702.Q42599	0.111	0	0	0	0.616	0.651	0.497	0.309	0.951
A0A1P8B2B4	ndhK	3702.A0A1P8B2B4	3702.P56756	0.115	0	0	0	0.677	0.732	0.529	0.289	0.969
A0A1P8B2B4	COX1	3702.A0A1P8B2B4	3702.P60620	0	0	0	0	0.798	0.678	0.574	0.368	0.980
AACT1	F11I11.120	3702.Q9FIK7	3702.A0A1P8B760	0.049	0	0	0	0	0	0	0.416	0.421
AACT1	LPD1	3702.Q9FIK7	3702.A8MS68	0	0	0	0	0.074	0.050	0.103	0.373	0.439
AACT1	ACS	3702.Q9FIK7	3702.B9DGD6	0.107	0	0	0	0.331	0	0.941	0.302	0.972
AACT1	ACC2	3702.Q9FIK7	3702.F4I1L3	0.059	0	0	0	0	0	0.948	0.709	0.984
AACT1	T10O22.24	3702.Q9FIK7	3702.F4IAP5	0.085	0	0	0	0.108	0.048	0	0.425	0.493
AACT1	F4INE2_ARATH	3702.Q9FIK7	3702.F4INE2	0.107	0	0	0	0.273	0	0.164	0.208	0.512
AACT1	VEL3	3702.Q9FIK7	3702.F4IRH5	0.078	0	0	0	0.383	0.406	0.334	0.117	0.765
AACT1	LPD2	3702.Q9FIK7	3702.F4JLP5	0	0	0	0	0.074	0.050	0.103	0.382	0.447
AACT1	dl4425c	3702.Q9FIK7	3702.F4JML5	0.078	0	0	0	0.383	0.406	0.334	0.140	0.771
AACT1	F4JML6_ARATH	3702.Q9FIK7	3702.F4JML6	0.078	0	0	0	0.383	0.406	0.334	0.140	0.771
AACT1	T2I1.70	3702.Q9FIK7	3702.F4K6N3	0.049	0	0	0	0	0	0	0.448	0.452
AACT1	rbcL	3702.Q9FIK7	3702.O03042	0.107	0	0	0	0.273	0	0.164	0.208	0.512
AACT1	CAC2	3702.Q9FIK7	3702.O04983	0.115	0	0	0	0.164	0.073	0.908	0.288	0.947
AACT1	ACLA-2	3702.Q9FIK7	3702.O22718	0.080	0	0	0	0.104	0	0.814	0.326	0.883
AACT1	ACX2	3702.Q9FIK7	3702.O65201	0.098	0	0	0	0.476	0.047	0.935	0.418	0.980
AACT1	ACX1	3702.Q9FIK7	3702.O65202	0.098	0	0	0	0.476	0.047	0.935	0.590	0.986
AACT1	ACLA-3	3702.Q9FIK7	3702.O80526	0.080	0	0	0	0.109	0	0.814	0.326	0.884
AACT1	HMGCL	3702.Q9FIK7	3702.O81027	0.107	0	0	0	0.260	0	0.900	0.419	0.956
AACT1	NADP-ME1	3702.Q9FIK7	3702.O82191	0.068	0	0	0	0.058	0	0.406	0.188	0.519
AACT1	F11A3.3	3702.Q9FIK7	3702.O82662	0.080	0	0	0	0.104	0	0.814	0.293	0.877
AACT1	SDH1-1	3702.Q9FIK7	3702.O82663	0	0	0	0	0.182	0.047	0.497	0.241	0.662
AACT1	ACX3	3702.Q9FIK7	3702.P0CZ23	0.098	0	0	0	0.476	0.047	0.935	0.229	0.973
AACT1	F3E22.17	3702.Q9FIK7	3702.P0CZ24	0.098	0	0	0	0.476	0.047	0.935	0.258	0.974
AACT1	CSY4	3702.Q9FIK7	3702.P20115	0.077	0	0	0	0.251	0.045	0.932	0.300	0.963
AACT1	ndhI	3702.Q9FIK7	3702.P56755	0	0	0	0	0.056	0	0.497	0.181	0.577
AACT1	accD	3702.Q9FIK7	3702.P56765	0.107	0	0	0	0.273	0	0.912	0.208	0.949
AACT1	F8L15_30	3702.Q9FIK7	3702.P68209	0.109	0	0	0	0.097	0	0.800	0.304	0.873
AACT1	M280_ARATH	3702.Q9FIK7	3702.P93292	0.107	0	0	0	0.273	0	0.164	0.208	0.512
AACT1	HPD	3702.Q9FIK7	3702.P93836	0.123	0	0	0	0	0	0	0.393	0.445
AACT1	ALDH6B2	3702.Q9FIK7	3702.Q0WM29	0	0	0	0	0.192	0.495	0.900	0.207	0.963
AACT1	LTA3	3702.Q9FIK7	3702.Q0WQF7	0.087	0	0	0	0.075	0	0.900	0.170	0.920
AACT1	T11J7.4	3702.Q9FIK7	3702.Q1PEY5	0.078	0	0	0	0.383	0.406	0.334	0.341	0.824
AACT1	ACC1	3702.Q9FIK7	3702.Q38970	0.059	0	0	0	0	0	0.948	0.545	0.976
AACT1	MCCA	3702.Q9FIK7	3702.Q42523	0.115	0	0	0	0.178	0.073	0.120	0.288	0.500
AACT1	BCCP1	3702.Q9FIK7	3702.Q42533	0.059	0	0	0	0.063	0.049	0.900	0.100	0.910
AACT1	YUP8H12R.37	3702.Q9FIK7	3702.Q42599	0	0	0	0	0.056	0	0.497	0.181	0.577
AACT1	PED1	3702.Q9FIK7	3702.Q56WD9	0	0	0.137	0.806	0	0	0.900	0.172	0.922
AACT1	KAT5	3702.Q9FIK7	3702.Q570C8	0	0	0.143	0.793	0	0	0.900	0.189	0.924
AACT1	EFL4	3702.Q9FIK7	3702.Q570U6	0.108	0	0	0	0.576	0.619	0.473	0.234	0.931
AACT1	VIL3	3702.Q9FIK7	3702.Q5BPT4	0.078	0	0	0	0.383	0.406	0.334	0.117	0.765
AACT1	F20D21.4	3702.Q9FIK7	3702.Q5M729	0.087	0	0	0	0.075	0	0.900	0.170	0.920
AACT1	T8B10.170	3702.Q9FIK7	3702.Q5XF59	0.078	0	0	0	0.383	0.406	0.334	0.360	0.829
AACT1	ECHIA	3702.Q9FIK7	3702.Q6NL24	0.078	0	0	0	0.383	0.406	0.334	0.677	0.914
AACT1	T11J7.5	3702.Q9FIK7	3702.Q6NMB0	0.078	0	0	0	0.383	0.406	0.334	0.360	0.829
AACT1	MENB	3702.Q9FIK7	3702.Q8GYN9	0.078	0	0	0	0.383	0.406	0.334	0.551	0.880
AACT1	F10M23.250	3702.Q9FIK7	3702.Q8H107	0.087	0	0	0	0.075	0	0.800	0.170	0.841
AACT1	NAD-ME2	3702.Q9FIK7	3702.Q8L7K9	0.068	0	0	0	0	0	0.406	0.188	0.511
AACT1	MKD15.11	3702.Q9FIK7	3702.Q8LAD2	0.109	0	0	0	0.097	0	0.800	0.304	0.873
AACT1	SDH2-2	3702.Q9FIK7	3702.Q8LB02	0	0	0	0	0.271	0.065	0	0.224	0.424
AACT1	SDH2-1	3702.Q9FIK7	3702.Q8LBZ7	0	0	0	0	0.271	0.065	0	0.224	0.424
AACT1	KAT1-2	3702.Q9FIK7	3702.Q8LF48	0	0	0.139	0.800	0	0	0.900	0.189	0.924
AACT1	EMB3147	3702.Q9FIK7	3702.Q8RU07	0	0	0	0	0.061	0	0	0.525	0.534
AACT1	T13H18.17	3702.Q9FIK7	3702.Q8RV72	0.077	0	0	0	0.251	0.045	0.352	0.242	0.616
AACT1	MDC16.5	3702.Q9FIK7	3702.Q8RWN9	0.087	0	0	0	0.075	0	0.900	0.170	0.920
AACT1	F11C18.10	3702.Q9FIK7	3702.Q8RXN4	0.078	0	0	0	0.383	0.406	0.334	0.335	0.823
AACT1	AAT1	3702.Q9FIK7	3702.Q8S4Y1	0	0	0.050	0.980	0	0	0.900	0.048	0.901
